"Date","Naissance"
"2021-01-01",35
"2021-01-02",32
"2021-01-03",30
"2021-01-04",31
"2021-01-05",44
"2021-01-06",29
"2021-01-07",45
"2021-01-08",43
"2021-01-09",38
"2021-01-10",27
"2021-01-11",38
"2021-01-12",33
"2021-01-13",55
"2021-01-14",47
"2021-01-15",45
"2021-01-16",37
"2021-01-17",50
"2021-01-18",43
"2021-01-19",41
"2021-01-20",52
"2021-01-21",34
"2021-01-22",53
"2021-01-23",39
"2021-01-24",32
"2021-01-25",37
"2021-01-26",43
"2021-01-27",39
"2021-01-28",35
"2021-01-29",44
"2021-01-30",38
"2021-01-31",24
"2021-02-01",23
"2021-02-02",31
"2021-02-03",44
"2021-02-04",38
"2021-02-05",50
"2021-02-06",38
"2021-02-07",51
"2021-02-08",31
"2021-02-09",31
"2021-02-10",51
"2021-02-11",36
"2021-02-12",45
"2021-02-13",51
"2021-02-14",34
"2021-02-15",52
"2021-02-16",47
"2021-02-17",45
"2021-02-18",46
"2021-02-19",39
"2021-02-20",48
"2021-02-21",37
"2021-02-22",35
"2021-02-23",52
"2021-02-24",42
"2021-02-25",45
"2021-02-26",39
"2021-02-27",37
"2021-02-28",30
"2021-03-01",35
"2021-03-02",28
"2021-03-03",45
"2021-03-04",34
"2021-03-05",36
"2021-03-06",50
"2021-03-07",44
"2021-03-08",39
"2021-03-09",32
"2021-03-10",39
"2021-03-11",45
"2021-03-12",43
"2021-03-13",39
"2021-03-14",31
"2021-03-15",27
"2021-03-16",30
"2021-03-17",42
"2021-03-18",46
"2021-03-19",41
"2021-03-20",36
"2021-03-21",45
"2021-03-22",46
"2021-03-23",43
"2021-03-24",38
"2021-03-25",34
"2021-03-26",35
"2021-03-27",56
"2021-03-28",36
"2021-03-29",32
"2021-03-30",50
"2021-03-31",41
"2021-04-01",39
"2021-04-02",41
"2021-04-03",47
"2021-04-04",34
"2021-04-05",36
"2021-04-06",33
"2021-04-07",35
"2021-04-08",38
"2021-04-09",38
"2021-04-10",34
"2021-04-11",53
"2021-04-12",34
"2021-04-13",34
"2021-04-14",38
"2021-04-15",35
"2021-04-16",32
"2021-04-17",42
"2021-04-18",34
"2021-04-19",46
"2021-04-20",30
"2021-04-21",46
"2021-04-22",45
"2021-04-23",54
"2021-04-24",34
"2021-04-25",37
"2021-04-26",35
"2021-04-27",40
"2021-04-28",42
"2021-04-29",58
"2021-04-30",51
"2021-05-01",32
"2021-05-02",35
"2021-05-03",38
"2021-05-04",33
"2021-05-05",39
"2021-05-06",47
"2021-05-07",38
"2021-05-08",52
"2021-05-09",30
"2021-05-10",34
"2021-05-11",40
"2021-05-12",35
"2021-05-13",42
"2021-05-14",41
"2021-05-15",42
"2021-05-16",38
"2021-05-17",24
"2021-05-18",34
"2021-05-19",43
"2021-05-20",36
"2021-05-21",55
"2021-05-22",41
"2021-05-23",45
"2021-05-24",41
"2021-05-25",37
"2021-05-26",43
"2021-05-27",39
"2021-05-28",33
"2021-05-29",43
"2021-05-30",40
"2021-05-31",38
"2021-06-01",45
"2021-06-02",46
"2021-06-03",34
"2021-06-04",35
"2021-06-05",48
"2021-06-06",51
"2021-06-07",36
"2021-06-08",33
"2021-06-09",46
"2021-06-10",42
"2021-06-11",48
"2021-06-12",34
"2021-06-13",41
"2021-06-14",35
"2021-06-15",40
"2021-06-16",34
"2021-06-17",30
"2021-06-18",36
"2021-06-19",40
"2021-06-20",39
"2021-06-21",45
"2021-06-22",38
"2021-06-23",47
"2021-06-24",33
"2021-06-25",30
"2021-06-26",42
"2021-06-27",43
"2021-06-28",41
"2021-06-29",41
"2021-06-30",59
"2021-07-01",43
"2021-07-02",45
"2021-07-03",38
"2021-07-04",37
"2021-07-05",45
"2021-07-06",42
"2021-07-07",57
"2021-07-08",46
"2021-07-09",51
"2021-07-10",41
"2021-07-11",47
"2021-07-12",26
"2021-07-13",35
"2021-07-14",44
"2021-07-15",41
"2021-07-16",42
"2021-07-17",36
"2021-07-18",45
"2021-07-19",45
"2021-07-20",45
"2021-07-21",47
"2021-07-22",38
"2021-07-23",42
"2021-07-24",35
"2021-07-25",36
"2021-07-26",39
"2021-07-27",45
"2021-07-28",43
"2021-07-29",47
"2021-07-30",36
"2021-07-31",41
"2021-08-01",50
"2021-08-02",39
"2021-08-03",41
"2021-08-04",46
"2021-08-05",64
"2021-08-06",45
"2021-08-07",34
"2021-08-08",38
"2021-08-09",44
"2021-08-10",48
"2021-08-11",46
"2021-08-12",44
"2021-08-13",37
"2021-08-14",39
"2021-08-15",44
"2021-08-16",45
"2021-08-17",33
"2021-08-18",44
"2021-08-19",38
"2021-08-20",46
"2021-08-21",46
"2021-08-22",40
"2021-08-23",39
"2021-08-24",44
"2021-08-25",48
"2021-08-26",50
"2021-08-27",41
"2021-08-28",42
"2021-08-29",51
"2021-08-30",41
"2021-08-31",44
"2021-09-01",38
"2021-09-02",68
"2021-09-03",40
"2021-09-04",42
"2021-09-05",51
"2021-09-06",44
"2021-09-07",45
"2021-09-08",36
"2021-09-09",57
"2021-09-10",44
"2021-09-11",42
"2021-09-12",53
"2021-09-13",42
"2021-09-14",34
"2021-09-15",40
"2021-09-16",56
"2021-09-17",44
"2021-09-18",53
"2021-09-19",55
"2021-09-20",39
"2021-09-21",59
"2021-09-22",55
"2021-09-23",73
"2021-09-24",55
"2021-09-25",44
"2021-09-26",43
"2021-09-27",40
"2021-09-28",47
"2021-09-29",51
"2021-09-30",56
"2021-10-01",49
"2021-10-02",54
"2021-10-03",56
"2021-10-04",47
"2021-10-05",44
"2021-10-06",43
"2021-10-07",42
"2021-10-08",45
"2021-10-09",50
"2021-10-10",48
"2021-10-11",43
"2021-10-12",40
"2021-10-13",59
"2021-10-14",41
"2021-10-15",42
"2021-10-16",51
"2021-10-17",49
"2021-10-18",45
"2021-10-19",43
"2021-10-20",42
"2021-10-21",38
"2021-10-22",47
"2021-10-23",38
"2021-10-24",36
"2021-10-25",42
"2021-10-26",35
"2021-10-27",28
"2021-10-28",44
"2021-10-29",36
"2021-10-30",45
"2021-10-31",46
"2021-11-01",48
"2021-11-02",49
"2021-11-03",43
"2021-11-04",42
"2021-11-05",59
"2021-11-06",45
"2021-11-07",52
"2021-11-08",46
"2021-11-09",42
"2021-11-10",40
"2021-11-11",40
"2021-11-12",45
"2021-11-13",35
